"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Spatial Spin-Wave Modulator in Multimode Cold Rubidium Quantum Memory","A. Leszczynski; M. Lipka; M. Mazelanik; M. Parniak; M. Dąbrowski; W. Wasilewski","Centre for Quantum Optical Technologies IRAU, Centre of New Technologies, University of Warsaw, Banacha 2c, 02-097 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Centre for Quantum Optical Technologies IRAU, Centre of New Technologies, University of Warsaw, Banacha 2c, 02-097 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Centre for Quantum Optical Technologies IRAU, Centre of New Technologies, University of Warsaw, Banacha 2c, 02-097 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Centre for Quantum Optical Technologies IRAU, Centre of New Technologies, University of Warsaw, Banacha 2c, 02-097 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Centre for Quantum Optical Technologies IRAU, Centre of New Technologies, University of Warsaw, Banacha 2c, 02-097 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Centre for Quantum Optical Technologies IRAU, Centre of New Technologies, University of Warsaw, Banacha 2c, 02-097 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland","2019 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","","2019","","","1","1","While several methods of information processing have been realized in quantum memories, thorough utilization of the spatial degree of freedom in highly-multimode memories demands a flexible method analogous to spatial light modulators (SLM) widely exploited in the broad field of optics to modulate the amplitude or phase of light. We want to present a spatial spin-wave modulator (SSM), allowing engineering of a spatial phase of spin-waves stored in a cold atomic memory. Using the SLM and polarizers we are able to shape a laser beam into an arbitrary shape. Such a prepared beam illuminates a cold rubidium cloud and due to ac-Stark effect the spatial phase of stored spin-waves is modified. The relative standard deviation of phase given by our SSM amounts to about 10%. We have also shown that losses scale quadratically with given phase. On one hand, that strongly limits the efficiency of SSM for strong phase modulation, but on the other hand enables efficient modulation in small range of several radians. During our research we have demonstrated a compensation of the quadratic phase introduced by a cylindrical lens placed in a readout path of our quantum memory. Moreover, introducing more complicated shapes of the ac-Stark beam, like saw or sine shape, we can shift and split spin-waves in Fourier domain [1]. Therefore we were able to interfere spin-waves stored in different spatial and temporal modes. This makes our SSM very robust tool which in conjugation with gradient echo memory can potentially allow to implement some new quantum protocols [2]. Finally, going to the single photon level we successfully observed a Hong-Ou-Mandel interference of two spin-waves stored in different spatial modes of our memory [3].","","978-1-7281-0469-0","10.1109/CLEOE-EQEC.2019.8871589","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8871589","","Phase modulation;Shape;Laser beams;Optics;Phase measurement;Rubidium","laser beams;lenses;light interference;optical modulation;optical storage;phase modulation;quantum optics;rubidium;spatial light modulators;spin waves;Stark effect","cylindrical lens;Hong-Ou-Mandel interference;single photon level;strong phase modulation;cold atomic memory;spatial phase;spatial light modulators;highly-multimode memories;multimode cold rubidium quantum memory;spatial spin-wave modulator;gradient echo memory;temporal modes;ac-Stark beam;quadratic phase;Rb","","","3","","","","","IEEE","IEEE Conferences"
"Detection of objects on LEO using signals of opportunity","D. Mieczkowska; J. Wójcicki; P. Szewczak; M. Kubel-Grabau; M. Zaborowska; U. Zielińska; J. Kopyciński; P. Woźniak; A. Borucka; G. Moryc; W. Rzęsa; B. Majerski; V. Szabó","Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Outsourcing Partner sp. z o.o., Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Faculty of Geodesy and Cartography, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; ‘Geoida’ Association, Warsaw University of Technology, Warsaw, Poland; Faculty of Geodesy and Cartography, Warsaw University of Technology, Warsaw, Poland","2017 Signal Processing Symposium (SPSympo)","","2017","","","1","6","Recently more attention has been paid to the space debris orbiting the Earth. Until 5 July 2016, the United States Strategic Command tracked a total of 17 729 artificial objects including 1419 operational satellites[1]. Information about the current position of these objects should be taken into consideration while planning space missions. There are various solutions to cope with the problem considered. The main objective was to design a low-cost system that would detect objects which do not emit their own signal and can cause collision with spacecrafts. The reception system is based on Doppler detection. One of the methods of gathering information about space objects which are changing their position relatively to the Earth is using the continuous wave reflection. The reflected outgoing sinusoidal wave is Doppler-shifted to higher or lower frequency according to whether it has a line of sight velocity towards or away from the receiver. It is also common to use this method for meteor detection. In this project we use signal emitted by the Graves Radar. Graves is a French radar-based space surveillance system which transmitter is located in the east of France and generates continuous wave with a frequency 143,05 MHz. In order to receive the reflected signal we built the passive radar which works on frequency similar to Graves. It is located 15 km to the south of Warsaw centre, thanks to its position it is possible to avoid radio noise coming from the city. Our construction includes directional antenna designed for 144 MHz and FUNcube Dongle Pro+. The FUNcube Dongle Pro+ is a software-defined radio (SDR) covering all broadcast andamateur radio bands from 150 kHz to 1,9 GHz. We use Orbitron as a software. Orbitron is an application related to satellite tracking. We can predict what kind of data will we receive from our construction by verifying it in application. Our first tests of the system were performed on objects with a well known trajectory and velocity. Also a correlation with data from two-line element set (TLE) was made. TLE is a data format encoding a list of orbital elements of an Earth-orbiting object for a given point in time. Results show spectrogram of a signal reflected from satellite with a Doppler shift that fits our expectations. The flying object generated a Doppler shift of about 10 kHz below the carrier frequency. Although the first data come from objects with a large size and mass above 1 ton, in further observations we expect to receive reflection from satellites which mass is less than 10 kg.","","978-1-5090-6755-8","10.1109/SPS.2017.8053660","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8053660","","Satellites;Orbits;Extraterrestrial measurements;Radar tracking;Satellite broadcasting","artificial satellites;directive antennas;Doppler shift;passive radar;radar antennas;satellite tracking;software radio;space debris;spaceborne radar","space debris;United States Strategic Command;space missions;low-cost system;reception system;Doppler detection;continuous wave reflection;meteor detection;Graves Radar;passive radar;frequency similar;Warsaw centre;radio noise;broadcast andamateur radio bands;satellite tracking;two-line element set;orbital elements;Earth-orbiting object;Doppler shift;flying object;carrier frequency;LEO satellites;space object detection;French radar-based space surveillance system;directional antenna;FUNcube Dongle Pro+;software-defined radio;SDR;frequency 10.0 kHz;frequency 150.0 kHz to 19.0 GHz;frequency 144.0 MHz","","1","9","","","","","IEEE","IEEE Conferences"
"Concept of the phase reference line for the European Spallation Source","K. Czuba; J. Berliński; Ł. Czuba; E. Fistek; M. Kalisiak; T. Leśniak; M. Mielnik; K. Oliwa; R. Papis; D. Sikora; W. Wierba; M. Żukociński; A. Sunesson; R. Zeng","Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; ESS ERIC, Lund, Sweden; ESS ERIC, Lund, Sweden","2018 22nd International Microwave and Radar Conference (MIKON)","","2018","","","382","384","The 600 m long accelerator and beam transport of the European Spallation Source requires precise phase synchronization of LLRF and Beam Diagnostics systems. Accelerator subsystems are operating at frequencies of 352 MHz and 704 MHz. The required phase accuracy at both frequencies is 0.1° for short term (during 3.5 ms pulse), 0.1° for long term between adjacent outputs and 2.0° for long term (hours to days) between any two points. The main part of the phase reference distribution system is a Phase Reference Line (PRL), which is a fully passive system based on a single 1-5/8” coaxial rigid line placed along the tunnel. The PRL was designed to distribute both reference frequencies from a Master Oscillator to 56 tap points in the tunnel. Each tap point has several (3 or 6) signal outputs. The total length of the PRL is around 580 meters and the total number of signal outputs equals 294. To achieve the best drift performance and fulfill ESS synchronization requirements, the PRL will be equipped with temperature stabilization system (+/-0.1 oC) and with an internal gas pressure stabilization system. This paper covers the concept of the PRL, technical assumptions, components selection considerations, general modeling results and initial tests of the ESS PRL prototype.","","978-83-949421-1-3","10.23919/MIKON.2018.8405232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405232","phase reference;European Spallation Source;synchronization;caxial rigid line","Temperature control;Directional couplers;Particle beams;Synchronization;Prototypes;Radio frequency;Klystrons","accelerator cavities;accelerator RF systems;linear accelerators;neutron sources;particle beam diagnostics;radio receivers;synchronisation","phase reference line;European Spallation Source;beam transport;precise phase synchronization;accelerator subsystems;phase reference distribution system;fully passive system;coaxial rigid line;tunnel;reference frequencies;56 tap points;tap point;ESS synchronization requirements;temperature stabilization system;internal gas pressure stabilization system;ESS PRL prototype;phase accuracy;time 3.5 ms;frequency 704.0 MHz;frequency 352 MHz","","","4","","","","","IEEE","IEEE Conferences"
"Development of All-Glass All-Normal Dispersion Highly Nonlinear Photonic Crystal Fibers with Introduced Birefringence","D. Dobrakowski; A. Rampur; G. Stępniewski; R. Kasztelanie; A. Anuszkiewicz; D. Pysz; R. Buczyński; M. Klimczak","Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Wólczyńska 133, 01-919 Warsaw, Poland; Faculty of Physics, University of Warsaw, Pasteura 5, 02-093 Warsaw, Poland","2019 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","","2019","","","1","1","Nonlinear optical fibers with engineered normal dispersion profile are attractive for femtosecond laser-pumped coherent supercontinuum generation. Polarization-induced modulation instability limits coherence in such systems [1, 2]. In order to alleviate this constraint, new designs of polarization-maintaining fibers are necessary without compromising of neither nonlinearity nor the shape of dispersion characteristic.","","978-1-7281-0469-0","10.1109/CLEOE-EQEC.2019.8872332","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8872332","","Optical fiber dispersion;Optical fiber polarization;Glass;Nonlinear optics;Photonic crystal fibers","birefringence;high-speed optical techniques;holey fibres;nonlinear optics;optical fibre dispersion;optical fibre polarisation;optical fibres;optical glass;optical modulation;optical pumping;photonic crystals;supercontinuum generation","engineered normal dispersion profile;femtosecond laser-pumped coherent supercontinuum generation;polarization-maintaining fibers;dispersion characteristics;all-normal dispersion highly nonlinear photonic crystal fibers;introduced birefringence;nonlinear optical fibers;polarization-induced modulation instability","","","4","","","","","IEEE","IEEE Conferences"
"Nanostructured Core Optical Fibres for Laser Applications","M. Franczyk; D. Pysz; A. Anuszkiewicz; A. Filipkowski; K. Stawicki; J. Lisowska; P. Pucko; D. Michalik; T. Stefaniuk; R. Kasztelanic; R. Stepień; K. Markowski; K. Jedrzejewski; T. Osuch; R. Buczyński","Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland; Department of Electronics and Information Technology, Warsaw University of Technology, Poland; Department of Electronics and Information Technology, Warsaw University of Technology, Poland; Department of Electronics and Information Technology, Warsaw University of Technology, Poland; Glass Department, Institute of Electronic Materials Technology, Warsaw, Poland","2019 21st International Conference on Transparent Optical Networks (ICTON)","","2019","","","1","1","The development of single mode fibre lasers and amplifiers, due to the wide area of applications, is the topic of great interest. We present nanostructurization, the new method applied within the fibre core to control precisely optical properties of the active fibre. The nanostructured core is composed of two or more kind of glasses with the size of a fraction of the light wavelength. The glass areas are made with glass rods creating the structure, repetitive along the fibre. The refractive index of that kind material can be treated as a compound of refractive indices of each glass area averaged over a certain neighbourhood inside the material. It results in continuous-like refractive index profile according to the design, which can be described with effective medium theory. The nanostructurization opens new opportunities for development of fibres with a core composed of glasses doped with active or photosensitive ions. It allows to control precisely not only the refractive index distribution, but also the active dopants distribution or photosensitivity distribution in the fibre core, providing perspectives for novel optical fibre designs for laser applications. We introduce recent developments of nanostructured core fibres made of ytterbium doped phosphate and silica glass. Active fibres with additional germanium dopants are also reviewed.","2161-2064","978-1-7281-2779-8","10.1109/ICTON.2019.8840304","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8840304","fibre laser;ytterbium;germanium;large mode area fibre;refractive index distribution;photosensitivity;Bragg grating;GRIN optics;phosphate glass;silica;nanostructurization","","","","","","","","","","","IEEE","IEEE Conferences"
"UVA Sensor Based on Highly Birefringent Fiber Covered With Graphene Oxide","P. Lesiak; Ł. Szelągowski; M. Bieda; P. Sobotka; A. Dużyńska; A. Wróblewska; K. Markowski; T. Osuch; A. Siemion; T. R. Woliński","Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland","IEEE Photonics Technology Letters","","2018","30","9","845","848","An innovative idea of exploiting unique properties of graphene oxide (GO) in long wave ultraviolet A (UVA) radiation sensor design is presented. The idea assumes that the temperature changes around a highly birefringent (HB) fiber can be induced by UVA radiation. Particular attention in the case of UVA radiation detection should be focused on GO, which has high absorption in the whole UV radiation range. Since UV lighting increases the internal energy of GO, as a consequence, a local raise of temperature on the surface of the HB fiber is observed. This temperature increase influences stress distribution in the HB fiber, and hence, the output state of polarization is modified.","1941-0174","","10.1109/LPT.2018.2819086","Faculty of Physics, Warsaw University of Technology; NCN; Innovative Economy Operational Program through the Project FOTEH; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8323393","Fiber-optic sensor;birefringence;graphene oxide;ultraviolet detector","Optical fiber sensors;Optical fiber polarization;Graphene;Fiber lasers;Temperature sensors;Measurement by laser beam","birefringence;fibre optic sensors;graphene compounds;optical fibre polarisation;ultraviolet detectors","highly birefringent fiber;internal energy;stress distribution;UVA sensor;HB fiber;UV lighting;UVA radiation detection;temperature changes;long wave ultraviolet A radiation sensor design","","1","21","","","","","IEEE","IEEE Journals"
"Photonic integrated circuits — Rising solutions for telecommunication and sensing","R. Piramidowicz; S. Stopiński; A. Jusza; K. Anders; A. Kaźmierczak; A. Paśnikowska; M. Słowikowski; W. Pleskacz","Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland","2018 Baltic URSI Symposium (URSI)","","2018","","","25","26","In this work we demonstrate the present capabilities of the indium phosphide generic technology platform, access to which is supported by PICs4All project. Selected examples of photonic integrated circuits designed for application in fiber-optic communication systems and optical sensing systems are presented and discussed.","","978-8-3949-4213-7","10.23919/URSI.2018.8406762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406762","photonic integration;indium phosphide;generic integration technology;photonic integrated circuit;fiber-optic communication systems;optical sensing","","fibre optic sensors;III-V semiconductors;indium compounds;integrated optics;optical fibre communication;optical transmitters;wavelength division multiplexing","optical sensing systems;photonic integrated circuits;telecommunication;indium phosphide generic technology platform;PICs4All project;fiber-optic communication systems;InP","","","11","","","","","IEEE","IEEE Conferences"
"Photonic Crystal Fiber Infiltrated with Carbon Tetrachloride for Supercontinuum Generation","V. T. Hoang; R. Kasztelanic; A. Filipkowski; M. Klimczak; D. Pysz; G. Stepniewski; K. D. Xuan; R. Buczynski","Institute of Electronic Materials Technology, Department of Glass, Wolczynska 133, 01-919 Warsaw, Poland; University of Warsaw, Faculty of Physics, Pasteura 5, 02-093 Warsaw, Poland; Institute of Electronic Materials Technology, Department of Glass, Wolczynska 133, 01-919 Warsaw, Poland; University of Warsaw, Faculty of Physics, Pasteura 5, 02-093 Warsaw, Poland; Institute of Electronic Materials Technology, Department of Glass, Wolczynska 133, 01-919 Warsaw, Poland; University of Warsaw, Faculty of Physics, Pasteura 5, 02-093 Warsaw, Poland; Institute of Electronic Materials Technology, Department of Glass, Wolczynska 133, 01-919 Warsaw, Poland; Institute of Electronic Materials Technology, Department of Glass, Wolczynska 133, 01-919 Warsaw, Poland; Institute of Electronic Materials Technology, Department of Glass, Wolczynska 133, 01-919 Warsaw, Poland; University of Warsaw, Faculty of Physics, Pasteura 5, 02-093 Warsaw, Poland; Vinh University, Department of Physics, 182 Le Duan Street, Vinh City, Vietnam; Institute of Electronic Materials Technology, Department of Glass, Wolczynska 133, 01-919 Warsaw, Poland; University of Warsaw, Faculty of Physics, Pasteura 5, 02-093 Warsaw, Poland","2019 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC)","","2019","","","1","1","Supercontinuum generation in a hollow core photonic crystal fiber infiltrated with carbon tetrachloride was verified numerically and experimentally with femtosecond laser. Carbon tetrachloride (CCU) infiltrated core of photonic crystal fiber (PCF), as well as other liquid core PCFs, have a large potential for supercontinuum (SC) generation, because they can combinate the unique properties of PCFs, i.e. modify dispersion characteristics by the individually changing of photonic cladding parameters of the PCF, optimize effective mode area and control mode properties, with high nonlinearity of liquid as a core medium. Moreover, using liquid core PCFs for SC generation can reduce requirements on high peak power and complexity of pump laser systems [1]. Carbon tetrachloride is one of the most interesting liquid in this area because it has very high nonlinear refractive index n2 = 1.53*10-19 (m2/W) @ λ=1.064 μm [2], it is highly transparent from visible range to mid-infrared (MIR) [3], and its linear refractive index is similar to silica - therefore development of single mode fibers compatible with standard silica fibers is feasible. Therefore, carbon tetrachloride core PCFs gives a large opportunities to obtain the broadband SC generation in infrared.","","978-1-7281-0469-0","10.1109/CLEOE-EQEC.2019.8872178","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8872178","","Optical fiber dispersion;Carbon;Laser excitation;Supercontinuum generation;Liquids;Photonic crystal fibers","holey fibres;optical fibre cladding;optical fibre dispersion;optical fibre losses;optical pumping;photonic crystals;refractive index;supercontinuum generation","broadband SC generation;carbon tetrachloride core PCFs;standard silica fibers;single mode fibers;high nonlinear refractive index;pump laser systems;high peak power;core medium;control mode properties;effective mode area;photonic cladding parameters;liquid core PCFs;carbon tetrachloride infiltrated core;femtosecond laser;hollow core photonic crystal fiber;supercontinuum generation;photonic crystal fiber infiltrated;size 1.064 mum","","","3","","","","","IEEE","IEEE Conferences"
"Optical Vortex Generation by Nanostructured Vortex Phase Plates Integrated with Single-Mode Fibers","H. Thi Nguyen; K. Switkowski; R. Kasztelanic; A. Anuszkiewicz; A. Filipkowski; D. Pysz; R. Stepien; W. Krolikowski; R. Buczynski","Faculty of Physics, University of Warsaw,Warsaw,Poland; Faculty of Physics, Warsaw University of Technology,Warsaw,Poland; Faculty of Physics, University of Warsaw,Warsaw,Poland; Faculty of Physics, Warsaw University of Technology,Warsaw,Poland; Faculty of Physics, Warsaw University of Technology,Warsaw,Poland; Faculty of Physics, Warsaw University of Technology,Warsaw,Poland; Faculty of Physics, Warsaw University of Technology,Warsaw,Poland; Institute of Electronic Materials,Department of Glass,Warsaw,Poland; Faculty of Physics, University of Warsaw,Warsaw,Poland","2019 IEEE 2nd British and Irish Conference on Optics and Photonics (BICOP)","","2019","","","1","4","We have developed a new optical vortex generator based on flat-surface nanostructured gradient index vortex phase plate (VPP) integrated with optical single mode fiber (SMF). The considered phase plate was constructed of set of designed discrete sub-wavelength rods made of two thermally matched glasses with high and low refractive indices. We used modified stack and draw technique to fabricate the nanostructured VPPs which exhibit the effective refractive index distribution changing azimuthally due to the effective medium theory. The optical performance of the fabricated systems was experimentally investigated. The obtained results showed good agreement with the theoretical prediction of vortex generations.","","978-1-7281-4948-6","10.1109/BICOP48819.2019.9059582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9059582","","","","","","","21","","","","","IEEE","IEEE Conferences"
"Diffractive Focusing Structures for Broadband Application in thz Range","K. Liebert; M. Rachon; J. Bomba; A. Sobczyk; A. Siemion; J. Suszek; M. Sypek","Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland","2018 43rd International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)","","2018","","","1","3","Small thickness of diffractive structures results in low absorption and therefore makes them ideal for THz beam shaping. However, diffractive optics suffers from high chromatic aberrations, which can be suppressed by using different designing method like high order kinoforms. In this paper spherical lenses and structures with increased depth of focus, coded as kinoforms of first and second order, are analyzed for chromatic aberration reduction.","2162-2035","978-1-5386-3809-5","10.1109/IRMMW-THz.2018.8510503","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8510503","","Optical refraction;Optical imaging;Optical diffraction;Lenses;Computational modeling;Optical variables control","aberrations;diffractive optical elements;lenses;optical design techniques","high order kinoforms;chromatic aberration reduction;diffractive focusing structures;broadband application;low absorption;THz beam shaping;spherical lenses;diffractive optics;designing method;THz range","","","7","","","","","IEEE","IEEE Conferences"
