Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,,,,,,
Detection of objects on LEO using signals of opportunity,D. Mieczkowska; J. Wójcicki; P. Szewczak; M. Kubel-Grabau; M. Zaborowska; U. Zielińska; J. Kopyciński; P. Woźniak; A. Borucka; G. Moryc; W. Rzęsa; B. Majerski; V. Szabó,"Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Outsourcing Partner sp. z o.o., Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Faculty of Geodesy and Cartography, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; ‘Geoida’ Association, Warsaw University of Technology, Warsaw, Poland; Faculty of Geodesy and Cartography, Warsaw University of Technology, Warsaw, Poland",2017 Signal Processing Symposium (SPSympo),,2017,,,1,6,"Recently more attention has been paid to the space debris orbiting the Earth. Until 5 July 2016, the United States Strategic Command tracked a total of 17 729 artificial objects including 1419 operational satellites[1]. Information about the current position of these objects should be taken into consideration while planning space missions. There are various solutions to cope with the problem considered. The main objective was to design a low-cost system that would detect objects which do not emit their own signal and can cause collision with spacecrafts. The reception system is based on Doppler detection. One of the methods of gathering information about space objects which are changing their position relatively to the Earth is using the continuous wave reflection. The reflected outgoing sinusoidal wave is Doppler-shifted to higher or lower frequency according to whether it has a line of sight velocity towards or away from the receiver. It is also common to use this method for meteor detection. In this project we use signal emitted by the Graves Radar. Graves is a French radar-based space surveillance system which transmitter is located in the east of France and generates continuous wave with a frequency 143,05 MHz. In order to receive the reflected signal we built the passive radar which works on frequency similar to Graves. It is located 15 km to the south of Warsaw centre, thanks to its position it is possible to avoid radio noise coming from the city. Our construction includes directional antenna designed for 144 MHz and FUNcube Dongle Pro+. The FUNcube Dongle Pro+ is a software-defined radio (SDR) covering all broadcast andamateur radio bands from 150 kHz to 1,9 GHz. We use Orbitron as a software. Orbitron is an application related to satellite tracking. We can predict what kind of data will we receive from our construction by verifying it in application. Our first tests of the system were performed on objects with a well known trajectory and velocity. Also a correlation with data from two-line element set (TLE) was made. TLE is a data format encoding a list of orbital elements of an Earth-orbiting object for a given point in time. Results show spectrogram of a signal reflected from satellite with a Doppler shift that fits our expectations. The flying object generated a Doppler shift of about 10 kHz below the carrier frequency. Although the first data come from objects with a large size and mass above 1 ton, in further observations we expect to receive reflection from satellites which mass is less than 10 kg.",,978-1-5090-6755-8,10.1109/SPS.2017.8053660,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8053660,,Satellites;Orbits;Extraterrestrial measurements;Radar tracking;Satellite broadcasting,artificial satellites;directive antennas;Doppler shift;passive radar;radar antennas;satellite tracking;software radio;space debris;spaceborne radar,space debris;United States Strategic Command;space missions;low-cost system;reception system;Doppler detection;continuous wave reflection;meteor detection;Graves Radar;passive radar;frequency similar;Warsaw centre;radio noise;broadcast andamateur radio bands;satellite tracking;two-line element set;orbital elements;Earth-orbiting object;Doppler shift;flying object;carrier frequency;LEO satellites;space object detection;French radar-based space surveillance system;directional antenna;FUNcube Dongle Pro+;software-defined radio;SDR;frequency 10.0 kHz;frequency 150.0 kHz to 19.0 GHz;frequency 144.0 MHz,,1,9,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Concept of the phase reference line for the European Spallation Source,K. Czuba; J. Berliński; Ł. Czuba; E. Fistek; M. Kalisiak; T. Leśniak; M. Mielnik; K. Oliwa; R. Papis; D. Sikora; W. Wierba; M. Żukociński; A. Sunesson; R. Zeng,"Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; ESS ERIC, Lund, Sweden; ESS ERIC, Lund, Sweden",2018 22nd International Microwave and Radar Conference (MIKON),,2018,,,382,384,"The 600 m long accelerator and beam transport of the European Spallation Source requires precise phase synchronization of LLRF and Beam Diagnostics systems. Accelerator subsystems are operating at frequencies of 352 MHz and 704 MHz. The required phase accuracy at both frequencies is 0.1° for short term (during 3.5 ms pulse), 0.1° for long term between adjacent outputs and 2.0° for long term (hours to days) between any two points. The main part of the phase reference distribution system is a Phase Reference Line (PRL), which is a fully passive system based on a single 1-5/8” coaxial rigid line placed along the tunnel. The PRL was designed to distribute both reference frequencies from a Master Oscillator to 56 tap points in the tunnel. Each tap point has several (3 or 6) signal outputs. The total length of the PRL is around 580 meters and the total number of signal outputs equals 294. To achieve the best drift performance and fulfill ESS synchronization requirements, the PRL will be equipped with temperature stabilization system (+/-0.1 oC) and with an internal gas pressure stabilization system. This paper covers the concept of the PRL, technical assumptions, components selection considerations, general modeling results and initial tests of the ESS PRL prototype.",,978-83-949421-1-3,10.23919/MIKON.2018.8405232,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405232,phase reference;European Spallation Source;synchronization;caxial rigid line,Temperature control;Directional couplers;Particle beams;Synchronization;Prototypes;Radio frequency;Klystrons,accelerator cavities;accelerator RF systems;linear accelerators;neutron sources;particle beam diagnostics;radio receivers;synchronisation,phase reference line;European Spallation Source;beam transport;precise phase synchronization;accelerator subsystems;phase reference distribution system;fully passive system;coaxial rigid line;tunnel;reference frequencies;56 tap points;tap point;ESS synchronization requirements;temperature stabilization system;internal gas pressure stabilization system;ESS PRL prototype;phase accuracy;time 3.5 ms;frequency 704.0 MHz;frequency 352 MHz,,,4,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
UVA Sensor Based on Highly Birefringent Fiber Covered With Graphene Oxide,P. Lesiak; Ł. Szelągowski; M. Bieda; P. Sobotka; A. Dużyńska; A. Wróblewska; K. Markowski; T. Osuch; A. Siemion; T. R. Woliński,"Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland",IEEE Photonics Technology Letters,,2018,30,9,845,848,"An innovative idea of exploiting unique properties of graphene oxide (GO) in long wave ultraviolet A (UVA) radiation sensor design is presented. The idea assumes that the temperature changes around a highly birefringent (HB) fiber can be induced by UVA radiation. Particular attention in the case of UVA radiation detection should be focused on GO, which has high absorption in the whole UV radiation range. Since UV lighting increases the internal energy of GO, as a consequence, a local raise of temperature on the surface of the HB fiber is observed. This temperature increase influences stress distribution in the HB fiber, and hence, the output state of polarization is modified.",1941-0174,,10.1109/LPT.2018.2819086,"Faculty of Physics, Warsaw University of Technology; NCN; Innovative Economy Operational Program through the Project FOTEH; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8323393,Fiber-optic sensor;birefringence;graphene oxide;ultraviolet detector,Optical fiber sensors;Optical fiber polarization;Graphene;Fiber lasers;Temperature sensors;Measurement by laser beam,birefringence;fibre optic sensors;graphene compounds;optical fibre polarisation;ultraviolet detectors,highly birefringent fiber;internal energy;stress distribution;UVA sensor;HB fiber;UV lighting;UVA radiation detection;temperature changes;long wave ultraviolet A radiation sensor design,,1,21,,,,,IEEE,IEEE Journals,,,,,,,,,,,
Diffractive Focusing Structures for Broadband Application in thz Range,K. Liebert; M. Rachon; J. Bomba; A. Sobczyk; A. Siemion; J. Suszek; M. Sypek,"Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland; Warsaw University of Technology, 75 Koszykowa Str., Warsaw, 00-662, Poland","2018 43rd International Conference on Infrared, Millimeter, and Terahertz Waves (IRMMW-THz)",,2018,,,1,3,"Small thickness of diffractive structures results in low absorption and therefore makes them ideal for THz beam shaping. However, diffractive optics suffers from high chromatic aberrations, which can be suppressed by using different designing method like high order kinoforms. In this paper spherical lenses and structures with increased depth of focus, coded as kinoforms of first and second order, are analyzed for chromatic aberration reduction.",2162-2035,978-1-5386-3809-5,10.1109/IRMMW-THz.2018.8510503,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8510503,,Optical refraction;Optical imaging;Optical diffraction;Lenses;Computational modeling;Optical variables control,aberrations;diffractive optical elements;lenses;optical design techniques,high order kinoforms;chromatic aberration reduction;diffractive focusing structures;broadband application;low absorption;THz beam shaping;spherical lenses;diffractive optics;designing method;THz range,,,7,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Photonic integrated circuits — Rising solutions for telecommunication and sensing,R. Piramidowicz; S. Stopiński; A. Jusza; K. Anders; A. Kaźmierczak; A. Paśnikowska; M. Słowikowski; W. Pleskacz,"Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Warsaw University of Technology, Warsaw, Poland",2018 Baltic URSI Symposium (URSI),,2018,,,25,26,"In this work we demonstrate the present capabilities of the indium phosphide generic technology platform, access to which is supported by PICs4All project. Selected examples of photonic integrated circuits designed for application in fiber-optic communication systems and optical sensing systems are presented and discussed.",,978-8-3949-4213-7,10.23919/URSI.2018.8406762,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406762,photonic integration;indium phosphide;generic integration technology;photonic integrated circuit;fiber-optic communication systems;optical sensing,,fibre optic sensors;III-V semiconductors;indium compounds;integrated optics;optical fibre communication;optical transmitters;wavelength division multiplexing,optical sensing systems;photonic integrated circuits;telecommunication;indium phosphide generic technology platform;PICs4All project;fiber-optic communication systems;InP,,,11,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Drone RCS estimation using simple experimental measurement in the WIFI bands,S. Rzewuski; K. Kulpa; B. Salski; P. Kopyt; K. Borowiec; M. Malanowski; P. Samczyński,"RS Technologies Ltd; Institute of Electronic Systems Warsaw University of Technology, 15/19 Nowowiejska Street, 00-665 Warsaw, Poland; Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology, 15/19 Nowowiejska Street, 00-665 Warsaw, Poland; Institute of Radioelectronics and Multimedia Technology, Warsaw University of Technology, 15/19 Nowowiejska Street, 00-665 Warsaw, Poland; Institute of Electronic Systems Warsaw University of Technology, 15/19 Nowowiejska Street, 00-665 Warsaw, Poland; Institute of Electronic Systems Warsaw University of Technology, 15/19 Nowowiejska Street, 00-665 Warsaw, Poland; Institute of Electronic Systems Warsaw University of Technology, 15/19 Nowowiejska Street, 00-665 Warsaw, Poland",2018 22nd International Microwave and Radar Conference (MIKON),,2018,,,695,698,"In this paper, authors will describe simple experiment which goal is to estimate of a radar cross section (RCS) of a drone. Drones are targets very small in size and RCS. During the design of the passive or active systems dedicated for drone detection, the RCS value of potential targets is not a priori known. So far there were publications related to simulated results of a drone or its parts. The measurements are performed in the 2.4 GHz WIFI band.",,978-83-949421-1-3,10.23919/MIKON.2018.8405329,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405329,drones;unmanned aerial vehicle;radar cross-section;RCS;RCS simulation;quadcopters;WIFI radar,Drones;Radar cross-sections;Estimation;Receiving antennas;Transmitting antennas;Wireless fidelity,radar cross-sections;radar signal processing;remotely operated vehicles;wireless LAN,active systems;passive systems;radar cross section;WIFI bands;drone RCS estimation;RCS value;drone detection;frequency 2.4 GHz,,2,7,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
"Satellites detection, tracking and cataloguing system",J. Kopyciński; P. Kukliński; W. Rzęsa; B. Majerski; A. Borucka; K. Choromański,"Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; ‘Geoida’ Association, Warsaw University of Technology, Warsaw, Poland; Physics Science Club, Warsaw University of Technology, Warsaw, Poland; 'Geoida' Association, Warsaw University of “Technology, Warsaw, Poland",2018 22nd International Microwave and Radar Conference (MIKON),,2018,,,370,373,"The growth in the amount of space debris in the Earth orbit demands more and more effort to establish space situational awareness (SSA) programmes. The solutions used by many countries, including France and the United States are complex as well as expensive. The aim of the project in question was to establish an affordable and simple radar-based surveillance system allowing to detect, track and catalogue objects in the outer space. The main elements used were: a Yagi antenna with proper equipment as a Doppler-shifted signal receiver, two programs for raw data analysis and orbit fitting as well as a database containing information about detected satellites. Basing on the frequency of signals emitted by the Graves radar, an object orbit estimation was made using a C++ program and then stored in a database. The phenomenon of relativistic Doppler effect was considered while analysing the data. The amplitude of signal gave the frequency as function of time. Next, a circular orbit approximation was found and saved to the database. On average 1176 satellite flights have been registered every week so far. The total cost of the system did not exceed €430, whereas the whole ESA's Space Situational Awareness Programme needs a budget of €95 million. It was possible to create a low-cost and uncomplicated part of a SSA system. The last and only functionality left is object identification by its cross section, which is planned to be developed in the near future.",,978-83-949421-1-3,10.23919/MIKON.2018.8405229,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405229,space surveillance;satellites;orbits;radar tracking,Orbits;Satellites;Space vehicles;Spaceborne radar;Radar tracking;Databases,Doppler radar;object detection;object tracking;search radar;spaceborne radar,radar-based surveillance system;object identification;relativistic Doppler effect;object orbit estimation;Graves radar;Doppler-shifted signal receiver;Yagi antenna;space situational awareness programmes;Earth orbit;space debris;cataloguing system,,,5,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Detection of sport ball in C-band using continuous-wave radars,K. Stasiak; M. Żywek; G. Krawczyki; M. Malanowski; J. Drozdowicz; D. Gromek; K. Klincewicz,"Piotr Samczynski Warsaw University of Technology Institute of Electronic Systems Nowowiejska 15/19 00-665 Warsaw, Poland; Piotr Samczynski Warsaw University of Technology Institute of Electronic Systems Nowowiejska 15/19 00-665 Warsaw, Poland; Piotr Samczynski Warsaw University of Technology Institute of Electronic Systems Nowowiejska 15/19 00-665 Warsaw, Poland; Piotr Samczynski Warsaw University of Technology Institute of Electronic Systems Nowowiejska 15/19 00-665 Warsaw, Poland; Piotr Samczynski Warsaw University of Technology Institute of Electronic Systems Nowowiejska 15/19 00-665 Warsaw, Poland; Piotr Samczynski Warsaw University of Technology Institute of Electronic Systems Nowowiejska 15/19 00-665 Warsaw, Poland; Piotr Samczynski Warsaw University of Technology Institute of Electronic Systems Nowowiejska 15/19 00-665 Warsaw, Poland",2018 22nd International Microwave and Radar Conference (MIKON),,2018,,,512,516,The paper presents results of an experimental investigation on sport ball detection using CW (Continuous-Wave) radars operating in the C-band. An implementation of FMCW (Frequency-Modulated Continuous-Wave) radar and implementation of noise radar have been used in the experiments. Both implementations are described with the obtained results presented and discussed.,,978-83-949421-1-3,10.23919/MIKON.2018.8405272,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8405272,,Radar cross-sections;Radar antennas;Doppler radar;Radar detection;Radar signal processing,CW radar;FM radar;sport,noise radar;C-band;sport ball detection;FMCW radar;frequency-modulated continuous-wave radar,,2,10,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Ground Clutter Stability Analises in DAB based Passive Radar,K. Kulpa; B. Osiński; D. Gromek; P. Samczyński; M. Malanowski; M. Bączyk,"Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland; Institute of Electronic Systems, Warsaw University of Technology, Warsaw, Poland",2019 Signal Processing Symposium (SPSympo),,2019,,,146,149,"The ground clutter cancelation is one of the most important issue in a passive radar. The process of ground clutter cancelation can be divided into the two stages. The first is estimation of the clutter and the second is cancelation base on the estimated clutter. As the first process is more expensive in computational complexity sense, the overall computational complexity can be decrease by reducing the number of estimation of the ground clutter. One of the option is estimate the clutter not for each coherent processing intervals, but only for selected intervals. The side effect of this is ability of detection the moving objects at zero-Doppler bean, as they appears only in that bean for short time.The paper shows the analyses of ground clutter stability and impact of instability for clutter cancelation without current estimation. The experimental results taken from DAB based passive radar is presented in the paper.",,978-1-7281-1715-7,10.1109/SPS.2019.8881989,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8881989,Passive Radars;Pasive Conherent Location;PCL;ground clutter cancelation;CLEAN processing,Clutter;Passive radar;Radar remote sensing;Estimation;Radar clutter;Image color analysis,computational complexity;interference suppression;object detection;passive radar;radar clutter;radar detection;radar signal processing,computational complexity sense;coherent processing intervals;current estimation;DAB based passive radar;ground clutter stability analises;ground clutter cancelation;cancelation base,,,14,,,,,IEEE,IEEE Conferences,,,,,,,,,,,
Characterization of Finite-Width Ground Coplanar Waveguides on High Resistivity Silicon With Ultralow Metallization Thickness,J. Judek; A. P. Gertych; M. Świniarski; M. Zdrojek; J. Krupka; J. K. Piotrowski,"Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Faculty of Electronics and Information Technology, Warsaw University of Technology, Warsaw, Poland; Institute of Microelectronics and Optoelectronics, Faculty of Electronics and Information Technology, Warsaw University of Technology, Warsaw, Poland",IEEE Transactions on Microwave Theory and Techniques,,2017,65,12,4836,4842,"In this paper, we report the microwave properties of finite-ground coplanar waveguides (CPWs) fabricated on a thermally oxidized high resistivity silicon substrate. The ultralow metallization thickness indicates a gold metallization with a thickness in the range from 10 to 100 nm. We present measured magnitudes and phases of the S11 and S21 parameters of the CPW segments in the frequency range from 0.1 to 26 GHz, which are transformed based on the signal flow graph to the characteristic impedance Z0, the attenuation coefficient α, and the effective dielectric constant εeff. We analyze the CPW attenuation dependence on the metallization thickness based on the α( f ) = α0 · ( f/1 GHz)n model.",1557-9670,,10.1109/TMTT.2017.2731954,National Centre for Research and Development within the projects; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004490,Attenuation;conductor losses;coplanar waveguide (CPW);high-frequency measurements;high resistivity silicon (HRS) substrate,Coplanar waveguides;Metallization;Microwave theory and techniques;Gold;Transmission line measurements;Resistance;Probes,coplanar waveguides;gold;metallisation;permittivity;silicon;substrates,finite-width ground coplanar waveguides;ultralow metallization thickness;microwave properties;finite-ground coplanar waveguides;gold metallization;size 10.0 nm to 100.0 nm;frequency 0.1 GHz to 26.0 GHz,,1,42,,,,,IEEE,IEEE Journals,,,,,,,,,,,
